"","COUNTRY","ID","DATE","Q1","Q13A","WT","Q1001","Q1002","Q2061A","Q1COVID19","Q2ACOVID19","Q2BCOVID19","Q12COVID19_3","Q12COVID19_4","Q12COVID19_5A","Q12COVID19_5B","Q5COVID19","Q10COVID19_5","Q13COVID19","Q14COVID19","Q15COVID19_1","Q15COVID19_2","Q16COVID19","Q101","Q102","Q112_1","Q112_2","Q118","Q601_1","Q601_4","Q601_19","Q601_18","Q601_20","Q620","Q619_1A","Q619_1B","Q619_3A","Q619_4A","Q619_5A","Q601A","Q201A_1","Q201A_2","Q201B_6","Q201B_13","QLIB1","Q204A_3","Q204A_1","Q204A_2","Q521_1","Q521_2","Q521_4","Q204_11","Q204_20","Q204_25","Q210","Q211","Q700B_1","Q700B_13","Q700B_23","Q700B_5","Q725_1","Q725_4","Q725_23","Q725_15","Q732B","Q730B","Q734A","Q734B","Q727_1","Q727_4","Q727_5","Q104","Q104A_1","Q104A_2","Q104A_3","Q104A_4","Q104A_5","Q104A_6","Q104A_7","Q104A_8","Q1003","Q1010","Q1010B1","Q1010B2","Q1014C","Q1005","Q1005B","Q1005C","Q1005D","Q1005E","Q1006A","Q1006B_CODE","Q1016","Q1012","Q1012A","Q1012B","Q609","Q602_1","Q602_2","Q602_3","Q602_4A","Q602_4B","Q1011D","Q1011E","Q1011F"
"1",1,100,"2021-04-01",1001,3,0.215090449647651,59,1,15,3,NA,5,3,3,NA,3,4,3,2,2,5,1,2,2,4,3,2,2,2,2,2,2,2,2,4,1,4,1,3,NA,1,2,1,4,NA,2,2,2,1,1,1,1,2,1,3,1,4,1,2,3,4,2,1,4,1,4,NA,4,2,98,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,6,1,NA,NA,NA,NA,1,5,3,1,NA,1,1,4,3,4,4,NA,2,2,2
"2",1,1001,"2021-04-05",1029,3,0.778954448657906,29,1,15,1,1,NA,3,1,NA,1,3,1,4,4,7,2,1,3,2,3,3,1,4,4,2,2,1,1,2,2,2,2,4,NA,4,2,1,3,NA,3,2,3,2,4,4,2,4,4,4,NA,3,1,1,1,3,4,2,2,4,1,NA,4,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,2,3,2,NA,NA,NA,NA,2,8,2,1,NA,1,3,2,3,4,3,NA,1,1,1
"3",1,1004,"2021-04-05",1004,3,2.83776647617845,30,1,12,2,1,NA,99,1,NA,3,97,98,4,98,3,5,1,2,98,3,3,98,3,3,2,3,2,1,4,2,1,4,98,NA,98,98,2,98,NA,4,98,3,98,98,98,98,4,98,98,NA,3,4,2,98,98,98,98,98,98,4,NA,98,97,97,97,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,6,6,NA,1,NA,NA,NA,NA,1,1,NA,1,1,3,2,3,98,NA,1,1,1
"4",1,101,"2021-04-01",1028,1,0.372985585375657,71,1,1,1,6,NA,3,1,NA,3,97,3,2,2,2,99,1,3,2,3,3,1,3,3,3,3,3,3,1,1,1,1,2,NA,2,2,2,2,NA,2,3,3,2,4,1,2,2,2,2,1,98,1,1,4,5,2,2,5,98,5,NA,4,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,99,NA,NA,1,3,1,NA,NA,NA,NA,NA,2,1,NA,1,2,2,5,3,4,NA,2,1,1
"5",1,1010,"2021-04-05",1029,3,0.514371340063744,19,1,15,3,NA,3,3,3,NA,3,97,3,4,1,7,3,3,2,5,3,3,4,1,3,2,4,2,2,2,2,1,1,2,NA,4,4,1,3,NA,1,1,3,2,2,3,4,3,4,4,NA,3,2,1,4,98,4,5,5,2,1,NA,3,5,5,5,1,1,0,0,0,0,0,0,0,4,1,NA,NA,6,5,NA,NA,NA,NA,NA,NA,1,1,NA,3,1,3,3,3,3,NA,1,1,1
"6",1,1018,"2021-04-05",1041,3,0.504071023618604,31,1,2,4,NA,4,2,2,NA,3,97,1,4,3,7,5,1,2,2,2,1,1,2,3,98,2,3,2,3,4,4,2,4,NA,4,3,3,3,NA,98,3,2,3,2,2,1,4,4,2,4,3,1,2,4,98,5,2,5,3,5,NA,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2,NA,2,2,NA,NA,NA,NA,2,7,2,1,NA,1,2,4,3,4,3,NA,1,1,1
"7",1,1020,"2021-04-05",1031,3,0.735523303218011,30,1,15,2,1,NA,3,3,NA,3,2,1,4,1,5,1,1,98,1,2,3,1,2,1,3,3,2,3,1,2,1,1,3,NA,4,3,2,4,NA,3,3,2,1,2,2,2,3,2,1,4,1,2,1,4,2,2,2,5,2,5,NA,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,5,2,NA,NA,NA,NA,2,99,2,1,NA,1,1,3,3,4,4,NA,1,3,1
"8",1,1022,"2021-04-05",1027,3,2.01609070596024,26,1,15,1,1,NA,3,1,NA,3,97,1,4,1,2,6,1,3,1,1,3,1,1,3,1,3,3,4,1,1,2,1,1,NA,4,1,1,1,NA,3,3,98,4,4,4,1,4,2,1,4,4,1,1,4,99,98,1,5,4,1,NA,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,NA,2,2,NA,NA,NA,NA,2,18,98,1,NA,1,1,2,3,4,4,NA,1,1,1
"9",1,1029,"2021-04-05",1026,3,1.90905792686691,29,1,6,4,NA,2,3,1,NA,3,4,1,1,97,5,2,1,2,5,2,1,3,4,2,3,1,2,3,1,4,4,1,2,NA,4,4,3,4,NA,2,3,2,2,3,2,4,4,4,1,4,2,2,1,4,2,2,2,5,4,5,NA,4,5,98,3,1,1,1,0,1,0,0,1,0,4,1,NA,NA,3,2,NA,NA,NA,NA,2,5,3,1,NA,1,2,2,3,3,4,NA,1,1,1
"10",1,1030,"2021-04-05",1014,3,0.588414028773334,28,1,15,1,1,NA,3,1,NA,98,97,1,4,97,3,1,1,3,5,3,3,3,3,3,2,3,3,2,1,1,4,1,3,NA,3,2,1,2,NA,3,4,2,3,2,2,2,4,3,1,1,4,2,2,98,98,4,2,5,2,5,NA,98,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,4,2,NA,NA,NA,NA,2,7,2,1,NA,1,1,3,4,3,4,NA,1,1,1
"11",1,1041,"2021-04-05",1017,3,0.770922985835523,31,1,1,4,NA,4,98,3,NA,3,1,3,4,2,1,3,1,3,2,2,3,3,4,3,2,3,2,3,2,1,1,2,1,NA,2,2,1,4,NA,4,2,3,2,2,1,4,4,4,1,1,4,4,1,2,5,2,5,5,2,3,NA,4,4,2,4,1,1,0,0,0,0,0,0,0,7,4,2,NA,2,2,NA,NA,NA,NA,2,8,1,1,NA,1,1,2,3,3,3,NA,1,3,1
"12",1,1042,"2021-04-05",1048,3,0.559023312681818,18,1,1,1,3,NA,2,1,NA,3,97,98,1,3,5,3,2,3,1,1,3,4,2,3,3,4,1,1,4,1,4,4,4,NA,4,4,1,1,NA,2,3,2,1,2,1,4,3,3,1,4,2,2,2,4,4,2,2,4,4,2,NA,4,3,4,4,1,1,0,0,0,0,0,0,0,4,1,NA,NA,5,5,NA,NA,NA,NA,NA,NA,3,1,NA,1,2,3,3,3,4,NA,1,2,1
"13",1,1043,"2021-04-05",1038,2,1.01302609533487,32,1,1,3,NA,3,2,1,NA,3,1,1,2,97,5,3,2,1,5,3,99,3,3,3,3,3,2,3,1,1,4,1,4,NA,4,4,1,98,NA,2,3,2,2,1,1,3,3,4,2,2,3,2,1,2,98,98,98,2,2,4,NA,3,5,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,5,2,NA,NA,NA,NA,2,1,4,1,NA,3,2,1,3,4,5,NA,1,2,1
